netusoft,nwsptot,pplfair,pplhlp,ppltrst,rdtot,tvtot,actrolga,bctprd,dclagr,dclaid,dclcrm,dclenv,dclmig,dclwlfr,dmcntov,euftf,gincdif,ginveco,lawobey,lrscale,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,trstsci,imbgeco,aesfdrk,atchctr,atcherp,blgetmg,brncntr,dscrgnd,dscrrlg,facntr,happy,health,inprdsc,mocntr,rlgdgr,sclmeet,ccnthum,vteumbgb,impenva,impfreea,impfuna,impricha,impsafea,imptrada,ipadvnta,ipcrtiva,ipeqopta,iplylfra,ipmodsta,ipudrsta,País,P_fc,GroupCntry
,,4,2,5,,0.0,,1,,,,,,,,3.0,1,,,0,1,2,5,1,6,6,4,1,2,,10,1,,,2.0,2,0,0,1,7,2,4.0,1,0,5,,,1.0,1.0,1.0,5.0,5.0,6.0,1.0,2.0,1.0,1.0,1.0,1.0,Francia,8,0
,,7,5,5,,6.0,,2,,,,,,,,5.0,1,,,3,4,4,4,4,4,3,3,5,5,,4,1,,,2.0,1,0,0,1,6,1,0.0,1,3,1,,,2.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,Francia,8,0
5.0,,8,8,5,,,3.0,1,,,,,,,,5.0,1,,,5,1,1,1,3,1,5,2,2,5,,1,1,10.0,8.0,2.0,1,0,0,1,7,2,4.0,1,8,3,4.0,,1.0,2.0,4.0,4.0,5.0,1.0,5.0,3.0,2.0,2.0,1.0,2.0,Suecia,20,0
,,10,5,5,,3.0,,2,,,,,,,,5.0,3,,,5,3,3,10,0,1,10,5,3,5,,5,3,,,2.0,1,0,0,2,10,1,3.0,2,5,4,,,3.0,2.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,2.0,2.0,Suecia,20,0
,1.0,5,2,4,1.0,3.0,,1,4.0,1.0,3.0,2.0,2.0,1.0,,,2,4.0,3.0,0,2,1,5,6,6,5,4,4,5,,5,2,,,2.0,1,0,0,1,7,2,,1,0,6,,,1.0,3.0,4.0,4.0,3.0,6.0,3.0,2.0,1.0,2.0,4.0,1.0,Alemania,5,0
,0.0,6,5,5,0.0,6.0,,2,,,,,,,,,1,,,6,4,3,4,3,6,3,3,2,6,,2,1,,,2.0,2,0,0,1,4,4,,1,7,1,,,1.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,2.0,Bélgica,2,0
5.0,,6,9,5,,,5.0,1,,,,,,,,3.0,1,,,5,1,2,3,3,5,5,4,2,0,,2,2,8.0,5.0,2.0,1,0,0,1,3,1,4.0,1,5,7,4.0,,2.0,6.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,3.0,Austria,1,0
,1.0,7,5,5,0.0,1.0,,2,,,,,,,,2.0,1,,,5,4,3,4,3,5,10,1,3,4,,5,1,,,2.0,1,0,0,1,10,2,,1,0,5,,,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Suecia,20,0
,1.0,4,8,6,4.0,3.0,,1,3.0,1.0,1.0,2.0,2.0,2.0,,,4,2.0,3.0,6,2,3,4,2,3,6,5,4,3,,3,2,,,2.0,1,0,0,1,8,3,,1,6,6,,,3.0,2.0,4.0,5.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,Alemania,5,0
,,3,2,2,,4.0,,2,,,,,,,0.0,2.0,1,,,6,3,2,4,0,2,2,10,2,2,,6,3,,,2.0,1,0,0,1,10,2,1.0,1,10,6,,,1.0,3.0,1.0,5.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,Francia,8,0
